timestamp,pm10,pm2_5,carbon_monoxide,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky,ammonia,methane,us_aqi
2025-07-04 19:00:00+00:00,62.6,25.8,239.0,447.0,22.9,11.3,36.0,0.74,62.0,0.0,0.0,,1380.0,80
2025-07-04 20:00:00+00:00,63.3,25.6,212.0,448.0,17.9,9.9,43.0,0.74,66.0,0.0,0.0,,1390.0,79
2025-07-04 21:00:00+00:00,66.6,26.3,190.0,448.0,13.7,8.8,49.0,0.72,70.0,0.0,0.0,,1396.0,81
2025-07-04 22:00:00+00:00,71.7,27.7,169.0,447.0,11.1,8.0,53.0,0.75,74.0,0.0,0.0,,1394.0,84
2025-07-04 23:00:00+00:00,76.4,29.4,153.0,446.0,9.4,7.6,56.0,0.79,79.0,0.0,0.0,,1387.0,87
2025-07-05 00:00:00+00:00,76.1,28.9,160.0,445.0,9.8,8.8,55.0,0.8,84.0,0.0,0.0,,1381.0,86
2025-07-05 01:00:00+00:00,82.0,31.2,215.0,445.0,10.5,10.2,57.0,0.82,99.0,0.05,0.05,,1376.0,91
2025-07-05 02:00:00+00:00,103.4,35.5,293.0,446.0,11.4,12.1,60.0,0.83,119.0,0.35,0.4,,1372.0,101
2025-07-05 03:00:00+00:00,112.2,37.1,340.0,447.0,11.4,13.7,65.0,0.82,136.0,1.25,1.4,,1368.0,105
2025-07-05 04:00:00+00:00,120.6,38.6,325.0,447.0,9.6,14.9,74.0,0.82,147.0,2.95,3.15,,1365.0,109
2025-07-05 05:00:00+00:00,127.1,39.7,279.0,447.0,6.8,15.7,85.0,0.84,155.0,4.7,5.35,,1363.0,111
2025-07-05 06:00:00+00:00,127.1,40.4,242.0,446.0,4.7,16.2,94.0,0.86,159.0,6.1,7.5,,1360.0,113
2025-07-05 07:00:00+00:00,135.0,43.8,230.0,445.0,3.8,16.0,99.0,0.84,156.0,6.95,8.7,,1356.0,121
2025-07-05 08:00:00+00:00,124.3,41.7,228.0,445.0,3.5,15.3,101.0,0.82,149.0,7.45,8.85,,1352.0,116
2025-07-05 09:00:00+00:00,116.4,39.8,231.0,444.0,3.7,14.8,101.0,0.77,141.0,6.9,7.55,,1348.0,112
2025-07-05 10:00:00+00:00,112.2,38.4,242.0,444.0,4.2,14.9,97.0,0.74,135.0,5.25,5.45,,1345.0,108
2025-07-05 11:00:00+00:00,106.4,36.4,259.0,444.0,5.1,15.1,89.0,0.7,130.0,3.0,3.2,,1341.0,103
2025-07-05 12:00:00+00:00,107.3,36.7,269.0,444.0,7.2,16.1,85.0,0.68,129.0,1.25,1.4,,1340.0,104
2025-07-05 13:00:00+00:00,95.7,32.8,266.0,444.0,11.0,15.3,74.0,0.62,115.0,0.35,0.4,,1340.0,95
2025-07-05 14:00:00+00:00,88.2,30.6,258.0,443.0,16.1,14.1,60.0,0.62,95.0,0.05,0.05,,1342.0,90
2025-07-05 15:00:00+00:00,75.2,29.5,251.0,443.0,19.6,13.0,50.0,0.62,80.0,0.0,0.0,,1346.0,88
2025-07-05 16:00:00+00:00,69.8,28.7,254.0,444.0,20.0,12.1,48.0,0.6,74.0,0.0,0.0,,1355.0,86
2025-07-05 17:00:00+00:00,68.0,27.6,258.0,444.0,18.6,11.4,51.0,0.59,72.0,0.0,0.0,,1366.0,84
2025-07-05 18:00:00+00:00,68.0,26.5,252.0,445.0,16.7,10.5,54.0,0.61,71.0,0.0,0.0,,1373.0,81
2025-07-05 19:00:00+00:00,69.2,25.3,223.0,445.0,14.1,9.4,56.0,0.63,72.0,0.0,0.0,,1373.0,79
2025-07-05 20:00:00+00:00,68.9,24.1,183.0,444.0,10.9,8.2,58.0,0.66,74.0,0.0,0.0,,1369.0,76
2025-07-05 21:00:00+00:00,66.8,23.3,153.0,444.0,8.4,7.4,60.0,0.66,75.0,0.0,0.0,,1366.0,75
2025-07-05 22:00:00+00:00,62.4,22.8,138.0,444.0,7.1,7.2,62.0,0.65,71.0,0.0,0.0,,1367.0,74
2025-07-05 23:00:00+00:00,61.0,22.8,134.0,444.0,6.4,7.4,63.0,0.63,65.0,0.0,0.0,,1368.0,74
2025-07-06 00:00:00+00:00,63.8,22.8,147.0,444.0,6.5,8.2,62.0,0.73,71.0,0.0,0.0,,1367.0,74
